order_date,product_id,order_qty,year,month,day_of_week,is_weekend
2017-01-01,P01,1180,2017,1,6,1
2017-01-01,P02,2166,2017,1,6,1
2017-01-01,P03,1849,2017,1,6,1
2017-01-01,P04,1391,2017,1,6,1
2017-01-01,P05,1083,2017,1,6,1
2017-01-02,P01,1151,2017,1,0,0
2017-01-02,P02,2180,2017,1,0,0
2017-01-02,P03,1812,2017,1,0,0
2017-01-02,P04,1400,2017,1,0,0
2017-01-02,P05,1087,2017,1,0,0
2017-01-03,P01,1187,2017,1,1,0
2017-01-03,P02,2212,2017,1,1,0
2017-01-03,P03,1806,2017,1,1,0
2017-01-03,P04,1418,2017,1,1,0
2017-01-03,P05,1112,2017,1,1,0
2017-01-04,P01,1201,2017,1,2,0
2017-01-04,P02,2198,2017,1,2,0
2017-01-04,P03,1844,2017,1,2,0
2017-01-04,P04,1486,2017,1,2,0
2017-01-04,P05,1106,2017,1,2,0
2017-01-05,P01,1198,2017,1,3,0
2017-01-05,P02,2192,2017,1,3,0
2017-01-05,P03,1835,2017,1,3,0
2017-01-05,P04,1392,2017,1,3,0
2017-01-05,P05,1144,2017,1,3,0
2017-01-06,P01,1217,2017,1,4,0
2017-01-06,P02,2242,2017,1,4,0
2017-01-06,P03,1763,2017,1,4,0
2017-01-06,P04,1408,2017,1,4,0
2017-01-06,P05,1066,2017,1,4,0
2017-01-07,P01,1210,2017,1,5,1
2017-01-07,P02,2237,2017,1,5,1
2017-01-07,P03,1829,2017,1,5,1
2017-01-07,P04,1396,2017,1,5,1
2017-01-07,P05,1153,2017,1,5,1
2017-01-08,P01,1234,2017,1,6,1
2017-01-08,P02,2223,2017,1,6,1
2017-01-08,P03,1795,2017,1,6,1
2017-01-08,P04,1423,2017,1,6,1
2017-01-08,P05,1097,2017,1,6,1
2017-01-09,P01,1242,2017,1,0,0
2017-01-09,P02,2260,2017,1,0,0
2017-01-09,P03,1843,2017,1,0,0
2017-01-09,P04,1401,2017,1,0,0
2017-01-09,P05,1125,2017,1,0,0
2017-01-10,P01,1262,2017,1,1,0
2017-01-10,P02,2231,2017,1,1,0
2017-01-10,P03,1791,2017,1,1,0
2017-01-10,P04,1429,2017,1,1,0
2017-01-10,P05,1131,2017,1,1,0
2017-01-11,P01,1265,2017,1,2,0
2017-01-11,P02,2258,2017,1,2,0
2017-01-11,P03,1811,2017,1,2,0
2017-01-11,P04,1406,2017,1,2,0
2017-01-11,P05,1140,2017,1,2,0
2017-01-12,P01,1263,2017,1,3,0
2017-01-12,P02,2258,2017,1,3,0
2017-01-12,P03,1832,2017,1,3,0
2017-01-12,P04,1416,2017,1,3,0
2017-01-12,P05,1124,2017,1,3,0
2017-01-13,P01,1227,2017,1,4,0
2017-01-13,P02,2204,2017,1,4,0
2017-01-13,P03,1791,2017,1,4,0
2017-01-13,P04,1424,2017,1,4,0
2017-01-13,P05,1136,2017,1,4,0
2017-01-14,P01,1256,2017,1,5,1
2017-01-14,P02,2225,2017,1,5,1
2017-01-14,P03,1837,2017,1,5,1
2017-01-14,P04,1412,2017,1,5,1
2017-01-14,P05,1140,2017,1,5,1
2017-01-15,P01,1200,2017,1,6,1
2017-01-15,P02,2211,2017,1,6,1
2017-01-15,P03,1851,2017,1,6,1
2017-01-15,P04,1426,2017,1,6,1
2017-01-15,P05,1107,2017,1,6,1
2017-01-16,P01,1256,2017,1,0,0
2017-01-16,P02,2254,2017,1,0,0
2017-01-16,P03,1877,2017,1,0,0
2017-01-16,P04,1419,2017,1,0,0
2017-01-16,P05,1142,2017,1,0,0
2017-01-17,P01,1267,2017,1,1,0
2017-01-17,P02,2223,2017,1,1,0
2017-01-17,P03,1825,2017,1,1,0
2017-01-17,P04,1478,2017,1,1,0
2017-01-17,P05,1148,2017,1,1,0
2017-01-18,P01,1257,2017,1,2,0
2017-01-18,P02,2231,2017,1,2,0
2017-01-18,P03,1868,2017,1,2,0
2017-01-18,P04,1403,2017,1,2,0
2017-01-18,P05,1151,2017,1,2,0
2017-01-19,P01,1225,2017,1,3,0
2017-01-19,P02,2272,2017,1,3,0
2017-01-19,P03,1850,2017,1,3,0
2017-01-19,P04,1436,2017,1,3,0
2017-01-19,P05,1100,2017,1,3,0
2017-01-20,P01,1273,2017,1,4,0
2017-01-20,P02,2262,2017,1,4,0
2017-01-20,P03,1872,2017,1,4,0
2017-01-20,P04,1420,2017,1,4,0
2017-01-20,P05,1173,2017,1,4,0
2017-01-21,P01,1281,2017,1,5,1
