forecast_date,product_id,forecast_demand,model_used
2018-01-01,P01,1196,Holt-Winters
2018-01-02,P01,1209,Holt-Winters
2018-01-03,P01,1209,Holt-Winters
2018-01-04,P01,1211,Holt-Winters
2018-01-05,P01,1220,Holt-Winters
2018-01-06,P01,1220,Holt-Winters
2018-01-07,P01,1218,Holt-Winters
2018-01-08,P01,1219,Holt-Winters
2018-01-09,P01,1233,Holt-Winters
2018-01-10,P01,1233,Holt-Winters
2018-01-11,P01,1235,Holt-Winters
2018-01-12,P01,1243,Holt-Winters
2018-01-13,P01,1244,Holt-Winters
2018-01-14,P01,1241,Holt-Winters
2018-01-15,P01,1243,Holt-Winters
2018-01-16,P01,1256,Holt-Winters
2018-01-17,P01,1256,Holt-Winters
2018-01-18,P01,1258,Holt-Winters
2018-01-19,P01,1266,Holt-Winters
2018-01-20,P01,1267,Holt-Winters
2018-01-21,P01,1264,Holt-Winters
2018-01-22,P01,1266,Holt-Winters
2018-01-23,P01,1279,Holt-Winters
2018-01-24,P01,1279,Holt-Winters
2018-01-25,P01,1281,Holt-Winters
2018-01-26,P01,1290,Holt-Winters
2018-01-27,P01,1290,Holt-Winters
2018-01-28,P01,1288,Holt-Winters
2018-01-01,P02,2188,Holt-Winters
2018-01-02,P02,2196,Holt-Winters
2018-01-03,P02,2195,Holt-Winters
2018-01-04,P02,2202,Holt-Winters
2018-01-05,P02,2196,Holt-Winters
2018-01-06,P02,2206,Holt-Winters
2018-01-07,P02,2202,Holt-Winters
2018-01-08,P02,2202,Holt-Winters
2018-01-09,P02,2211,Holt-Winters
2018-01-10,P02,2210,Holt-Winters
2018-01-11,P02,2216,Holt-Winters
2018-01-12,P02,2211,Holt-Winters
2018-01-13,P02,2220,Holt-Winters
2018-01-14,P02,2216,Holt-Winters
2018-01-15,P02,2217,Holt-Winters
2018-01-16,P02,2225,Holt-Winters
2018-01-17,P02,2224,Holt-Winters
2018-01-18,P02,2231,Holt-Winters
2018-01-19,P02,2225,Holt-Winters
2018-01-20,P02,2235,Holt-Winters
2018-01-21,P02,2231,Holt-Winters
2018-01-22,P02,2231,Holt-Winters
2018-01-23,P02,2240,Holt-Winters
2018-01-24,P02,2238,Holt-Winters
2018-01-25,P02,2245,Holt-Winters
2018-01-26,P02,2240,Holt-Winters
2018-01-27,P02,2249,Holt-Winters
2018-01-28,P02,2245,Holt-Winters
2018-01-01,P03,1793,Holt-Winters
2018-01-02,P03,1799,Holt-Winters
2018-01-03,P03,1803,Holt-Winters
2018-01-04,P03,1799,Holt-Winters
2018-01-05,P03,1795,Holt-Winters
2018-01-06,P03,1803,Holt-Winters
2018-01-07,P03,1810,Holt-Winters
2018-01-08,P03,1810,Holt-Winters
2018-01-09,P03,1816,Holt-Winters
2018-01-10,P03,1820,Holt-Winters
2018-01-11,P03,1816,Holt-Winters
2018-01-12,P03,1812,Holt-Winters
2018-01-13,P03,1820,Holt-Winters
2018-01-14,P03,1828,Holt-Winters
2018-01-15,P03,1828,Holt-Winters
2018-01-16,P03,1834,Holt-Winters
2018-01-17,P03,1838,Holt-Winters
2018-01-18,P03,1834,Holt-Winters
2018-01-19,P03,1830,Holt-Winters
2018-01-20,P03,1838,Holt-Winters
2018-01-21,P03,1846,Holt-Winters
2018-01-22,P03,1845,Holt-Winters
2018-01-23,P03,1851,Holt-Winters
2018-01-24,P03,1855,Holt-Winters
2018-01-25,P03,1851,Holt-Winters
2018-01-26,P03,1847,Holt-Winters
2018-01-27,P03,1855,Holt-Winters
2018-01-28,P03,1863,Holt-Winters
2018-01-01,P04,1400,Holt-Winters
2018-01-02,P04,1411,Holt-Winters
2018-01-03,P04,1404,Holt-Winters
2018-01-04,P04,1406,Holt-Winters
2018-01-05,P04,1412,Holt-Winters
2018-01-06,P04,1411,Holt-Winters
2018-01-07,P04,1418,Holt-Winters
2018-01-08,P04,1421,Holt-Winters
2018-01-09,P04,1432,Holt-Winters
2018-01-10,P04,1425,Holt-Winters
2018-01-11,P04,1427,Holt-Winters
2018-01-12,P04,1433,Holt-Winters
2018-01-13,P04,1431,Holt-Winters
2018-01-14,P04,1438,Holt-Winters
2018-01-15,P04,1442,Holt-Winters
2018-01-16,P04,1453,Holt-Winters
2018-01-17,P04,1446,Holt-Winters
2018-01-18,P04,1448,Holt-Winters
2018-01-19,P04,1453,Holt-Winters
2018-01-20,P04,1452,Holt-Winters
2018-01-21,P04,1459,Holt-Winters
2018-01-22,P04,1463,Holt-Winters
2018-01-23,P04,1474,Holt-Winters
2018-01-24,P04,1467,Holt-Winters
2018-01-25,P04,1469,Holt-Winters
