period_week,machine_id,regular_capacity_hours,overtime_hours,total_capacity_hours,utilized_hours,utilization_pct,shadow_price_usd_per_hr,is_bottleneck
1,M01,86.4,48.0,134.4,134.4,100.0,-19031.64,YES
1,M02,86.4,0.0,86.4,47.0,54.4,0.0,NO
1,M03,86.4,25.9,112.3,112.3,100.0,-675.0,NO
2,M01,86.4,48.0,134.4,134.4,100.0,-13887.42,YES
2,M02,86.4,0.0,86.4,47.0,54.4,0.0,NO
2,M03,86.4,25.9,112.3,112.3,100.0,-675.0,NO
3,M01,86.4,48.0,134.4,134.4,100.0,-8742.79,YES
3,M02,86.4,0.0,86.4,47.0,54.4,0.0,NO
3,M03,86.4,25.9,112.3,112.3,100.0,-675.0,NO
4,M01,86.4,48.0,134.4,134.4,100.0,-3597.82,YES
4,M02,86.4,0.0,86.4,47.0,54.4,0.0,NO
4,M03,86.4,25.9,112.3,112.3,100.0,-675.0,NO
