period_week,material_id,material_name,gross_req,safety_stock,projected_avail,net_req,planned_receipt,planned_release_week,planned_release_qty,action_message,order_cost,run_id
1,RAW_STEEL_A,Sac Plaka 4mm,4725.0,202,275.0,427.0,500,0,500,EXPEDITE (Past Due),19250.0,RUN-20260925-a24f70
2,RAW_STEEL_A,Sac Plaka 4mm,4970.0,202,305.0,4897.0,5000,1,5000,RELEASE ORDER,192500.0,RUN-20260925-a24f70
3,RAW_STEEL_A,Sac Plaka 4mm,4970.0,202,335.0,4867.0,5000,2,5000,RELEASE ORDER,192500.0,RUN-20260925-a24f70
4,RAW_STEEL_A,Sac Plaka 4mm,4970.0,202,365.0,4837.0,5000,3,5000,RELEASE ORDER,192500.0,RUN-20260925-a24f70
1,RAW_STEEL_B,Yapısal Çelik Sac 8mm,16467.5,56,332.5,8523.5,8800,0,8800,EXPEDITE (Past Due),369600.0,RUN-20260925-a24f70
2,RAW_STEEL_B,Yapısal Çelik Sac 8mm,16535.0,56,197.5,16258.5,16400,1,16400,RELEASE ORDER,688800.0,RUN-20260925-a24f70
3,RAW_STEEL_B,Yapısal Çelik Sac 8mm,16535.0,56,62.5,16393.5,16400,2,16400,RELEASE ORDER,688800.0,RUN-20260925-a24f70
4,RAW_STEEL_B,Yapısal Çelik Sac 8mm,16535.0,56,327.5,16528.5,16800,3,16800,RELEASE ORDER,705600.0,RUN-20260925-a24f70
1,RAW_ALLOY_ROD,Alaşımlı Çelik Mil,10725.0,802,1025.0,5527.0,5750,-1,5750,EXPEDITE (Past Due),448500.0,RUN-20260925-a24f70
2,RAW_ALLOY_ROD,Alaşımlı Çelik Mil,10037.5,802,987.5,9814.5,10000,0,10000,EXPEDITE (Past Due),780000.0,RUN-20260925-a24f70
3,RAW_ALLOY_ROD,Alaşımlı Çelik Mil,10037.5,802,950.0,9852.0,10000,1,10000,RELEASE ORDER,780000.0,RUN-20260925-a24f70
4,RAW_ALLOY_ROD,Alaşımlı Çelik Mil,10037.5,802,912.5,9889.5,10000,2,10000,RELEASE ORDER,780000.0,RUN-20260925-a24f70
1,COATING_POWDER,Elektrostatik Toz Boya,988.8,2,11.2,390.8,400,0,400,EXPEDITE (Past Due),64000.0,RUN-20260925-a24f70
2,COATING_POWDER,Elektrostatik Toz Boya,991.8,2,19.5,982.5,1000,1,1000,RELEASE ORDER,160000.0,RUN-20260925-a24f70
3,COATING_POWDER,Elektrostatik Toz Boya,991.8,2,27.8,974.2,1000,2,1000,RELEASE ORDER,160000.0,RUN-20260925-a24f70
4,COATING_POWDER,Elektrostatik Toz Boya,991.8,2,36.0,966.0,1000,3,1000,RELEASE ORDER,160000.0,RUN-20260925-a24f70
