period_week,product_id,family_id,weekly_forecast_units,planned_batches,planned_units
1,P01,FAM_A,8483,0,0
1,P02,FAM_A,15385,0,0
1,P03,FAM_A,12602,0,0
1,P04,FAM_B,9862,260,6500
1,P05,FAM_B,7645,201,5025
2,P01,FAM_A,8648,0,0
2,P02,FAM_A,15486,0,0
2,P03,FAM_A,12722,0,0
2,P04,FAM_B,10007,260,6500
2,P05,FAM_B,7755,201,5025
3,P01,FAM_A,8810,0,0
3,P02,FAM_A,15588,0,0
3,P03,FAM_A,12848,0,0
3,P04,FAM_B,10153,260,6500
3,P05,FAM_B,7866,201,5025
4,P01,FAM_A,8973,0,0
4,P02,FAM_A,15688,0,0
4,P03,FAM_A,12967,0,0
4,P04,FAM_B,10300,260,6500
4,P05,FAM_B,7978,201,5025
