time_min,time_hour,interval_min,total_load_kw,run_id
0,0.0,15.0,0.81,RUN-20260925-2f9062
15,0.25,15.0,0.81,RUN-20260925-2f9062
30,0.5,15.0,0.81,RUN-20260925-2f9062
45,0.75,15.0,0.81,RUN-20260925-2f9062
60,1.0,15.0,0.81,RUN-20260925-2f9062
75,1.25,15.0,0.81,RUN-20260925-2f9062
90,1.5,15.0,0.81,RUN-20260925-2f9062
105,1.75,15.0,0.81,RUN-20260925-2f9062
120,2.0,15.0,0.81,RUN-20260925-2f9062
135,2.25,15.0,0.81,RUN-20260925-2f9062
150,2.5,15.0,0.81,RUN-20260925-2f9062
165,2.75,15.0,0.81,RUN-20260925-2f9062
180,3.0,15.0,0.81,RUN-20260925-2f9062
195,3.25,15.0,0.81,RUN-20260925-2f9062
210,3.5,15.0,0.81,RUN-20260925-2f9062
225,3.75,15.0,0.81,RUN-20260925-2f9062
240,4.0,15.0,0.81,RUN-20260925-2f9062
255,4.25,15.0,0.81,RUN-20260925-2f9062
270,4.5,15.0,0.81,RUN-20260925-2f9062
285,4.75,15.0,0.81,RUN-20260925-2f9062
300,5.0,15.0,0.81,RUN-20260925-2f9062
315,5.25,15.0,0.81,RUN-20260925-2f9062
330,5.5,15.0,0.81,RUN-20260925-2f9062
345,5.75,15.0,0.81,RUN-20260925-2f9062
360,6.0,15.0,0.81,RUN-20260925-2f9062
375,6.25,15.0,0.81,RUN-20260925-2f9062
390,6.5,15.0,0.81,RUN-20260925-2f9062
405,6.75,15.0,0.81,RUN-20260925-2f9062
420,7.0,15.0,0.81,RUN-20260925-2f9062
435,7.25,15.0,0.81,RUN-20260925-2f9062
450,7.5,15.0,1.6166666666666667,RUN-20260925-2f9062
465,7.75,15.0,2.02,RUN-20260925-2f9062
480,8.0,15.0,60.091428571428565,RUN-20260925-2f9062
495,8.25,15.0,60.091428571428565,RUN-20260925-2f9062
510,8.5,15.0,60.091428571428565,RUN-20260925-2f9062
525,8.75,15.0,60.091428571428565,RUN-20260925-2f9062
540,9.0,15.0,60.091428571428565,RUN-20260925-2f9062
555,9.25,15.0,60.091428571428565,RUN-20260925-2f9062
