period_week,machine_id,regular_capacity_hours,overtime_hours,total_capacity_hours,utilized_hours,utilization_pct,shadow_price_usd_per_hr,is_bottleneck,run_id
1,M01,86.4,48.0,134.4,134.4,100.0,-9335.53,YES,RUN-20260925-406045
1,M02,86.4,0.0,86.4,65.5,75.8,0.0,NO,RUN-20260925-406045
1,M03,86.4,0.0,86.4,74.2,85.9,0.0,NO,RUN-20260925-406045
2,M01,86.4,48.0,134.4,134.4,100.0,-9393.71,YES,RUN-20260925-406045
2,M02,86.4,0.0,86.4,64.8,75.0,0.0,NO,RUN-20260925-406045
2,M03,86.4,0.0,86.4,76.3,88.3,0.0,NO,RUN-20260925-406045
3,M01,86.4,48.0,134.4,134.4,100.0,-5968.94,YES,RUN-20260925-406045
3,M02,86.4,0.0,86.4,64.9,75.1,0.0,NO,RUN-20260925-406045
3,M03,86.4,0.0,86.4,76.6,88.7,0.0,NO,RUN-20260925-406045
4,M01,86.4,48.0,134.4,134.4,100.0,-2529.85,YES,RUN-20260925-406045
4,M02,86.4,0.0,86.4,64.8,75.0,0.0,NO,RUN-20260925-406045
4,M03,86.4,0.0,86.4,76.4,88.4,0.0,NO,RUN-20260925-406045
