task_id,lot_id,parent_lot_id,sub_lot_index,product_id,operation_seq,machine_id,batch_count,batch_size_units,production_units,duration_min,start_min,end_min,release_time_min,setup_before_min,setup_end_min,setup_start_min,overtime_min,overtime_minutes,regular_minutes,is_overtime,calendar_shift
25,LOT_P04_L1,LOT_P04,1,P04,1,M01,40,25,1000,560,480,1040,480,25,480.0,455.0,0.0,0.0,560.0,0,REGULAR
27,LOT_P04_L2,LOT_P04,2,P04,1,M01,1,25,25,14,1040,1054,480,0,1040.0,1040.0,0.0,0.0,14.0,0,REGULAR
4,LOT_P02_L1,LOT_P02,1,P02,1,M01,40,25,1000,960,1084,2044,480,30,1084.0,1054.0,480.0,480.0,480.0,1,REGULAR
7,LOT_P02_L2,LOT_P02,2,P02,1,M01,40,25,1000,960,2044,3004,480,0,2044.0,2044.0,124.0,124.0,836.0,1,REGULAR
10,LOT_P02_L3,LOT_P02,3,P02,1,M01,40,25,1000,960,3004,3964,480,0,3004.0,3004.0,356.0,356.0,604.0,1,REGULAR
22,LOT_P05,LOT_P05,1,P05,1,M01,35,25,875,770,3984,4754,480,20,3984.0,3964.0,434.0,434.0,336.0,1,OVERTIME
13,LOT_P02_L4,LOT_P02,4,P02,1,M01,11,25,275,264,4774,5038,480,20,4774.0,4754.0,26.0,26.0,238.0,1,REGULAR
16,LOT_P01_L1,LOT_P01,1,P01,1,M01,40,25,1000,720,5063,5783,480,25,5063.0,5038.0,23.0,23.0,697.0,1,REGULAR
0,LOT_P03_L1,LOT_P03,1,P03,1,M01,40,25,1000,1400,5823,7223,960,40,5823.0,5783.0,440.0,440.0,960.0,1,REGULAR
2,LOT_P03_L2,LOT_P03,2,P03,1,M01,38,25,950,1330,7223,8553,960,0,7223.0,7223.0,457.0,457.0,873.0,1,REGULAR
19,LOT_P01_L2,LOT_P01,2,P01,1,M01,7,25,175,126,10600,10726,480,40,10600.0,10560.0,0.0,0.0,126.0,0,REGULAR
5,LOT_P02_L1,LOT_P02,1,P02,2,M02,40,25,1000,640,2044,2684,480,0,2044.0,2044.0,0.0,0.0,640.0,0,REGULAR
8,LOT_P02_L2,LOT_P02,2,P02,2,M02,40,25,1000,640,3360,4000,480,0,3360.0,3360.0,0.0,0.0,640.0,0,REGULAR
11,LOT_P02_L3,LOT_P02,3,P02,2,M02,40,25,1000,640,4800,5440,480,0,4800.0,4800.0,0.0,0.0,640.0,0,REGULAR
14,LOT_P02_L4,LOT_P02,4,P02,2,M02,11,25,275,176,5440,5616,480,0,5440.0,5440.0,0.0,0.0,176.0,0,REGULAR
23,LOT_P05,LOT_P05,1,P05,2,M02,35,25,875,490,6260,6750,480,20,6260.0,6240.0,0.0,0.0,490.0,0,REGULAR
1,LOT_P03_L1,LOT_P03,1,P03,2,M02,40,25,1000,400,7715,8115,960,35,7715.0,7680.0,0.0,0.0,400.0,0,REGULAR
17,LOT_P01_L1,LOT_P01,1,P01,2,M02,40,25,1000,480,8155,8635,480,40,8155.0,8115.0,0.0,0.0,480.0,0,REGULAR
3,LOT_P03_L2,LOT_P03,2,P03,2,M02,38,25,950,380,10600,10980,960,40,10600.0,10560.0,0.0,0.0,380.0,0,REGULAR
20,LOT_P01_L2,LOT_P01,2,P01,2,M02,7,25,175,84,11020,11104,480,40,11020.0,10980.0,0.0,0.0,84.0,0,REGULAR
26,LOT_P04_L1,LOT_P04,1,P04,2,M03,40,25,1000,480,1920,2400,480,0,1920.0,1920.0,0.0,0.0,480.0,0,REGULAR
6,LOT_P02_L1,LOT_P02,1,P02,3,M03,40,25,1000,800,3390,4190,480,30,3390.0,3360.0,0.0,0.0,800.0,0,REGULAR
9,LOT_P02_L2,LOT_P02,2,P02,3,M03,40,25,1000,800,4800,5600,480,0,4800.0,4800.0,0.0,0.0,800.0,0,REGULAR
12,LOT_P02_L3,LOT_P02,3,P02,3,M03,40,25,1000,800,6240,7040,480,0,6240.0,6240.0,0.0,0.0,800.0,0,REGULAR
24,LOT_P05,LOT_P05,1,P05,3,M03,35,25,875,630,7700,8330,480,20,7700.0,7680.0,0.0,0.0,630.0,0,REGULAR
15,LOT_P02_L4,LOT_P02,4,P02,3,M03,11,25,275,220,8350,8570,480,20,8350.0,8330.0,0.0,0.0,220.0,0,REGULAR
28,LOT_P04_L2,LOT_P04,2,P04,2,M03,1,25,25,12,8600,8612,480,30,8600.0,8570.0,0.0,0.0,12.0,0,REGULAR
18,LOT_P01_L1,LOT_P01,1,P01,3,M03,40,25,1000,600,10580,11180,480,20,10580.0,10560.0,0.0,0.0,600.0,0,REGULAR
21,LOT_P01_L2,LOT_P01,2,P01,3,M03,7,25,175,105,11180,11285,480,0,11180.0,11180.0,0.0,0.0,105.0,0,REGULAR
