period_week,product_id,family_id,weekly_forecast_units,planned_batches,planned_units,run_id
1,P03,FAM_A,2116,78,1950,RUN-20260925-788184
1,P02,FAM_A,3557,131,3275,RUN-20260925-788184
1,P01,FAM_A,1297,47,1175,RUN-20260925-788184
1,P05,FAM_B,1100,35,875,RUN-20260925-788184
1,P04,FAM_B,1295,41,1025,RUN-20260925-788184
2,P01,FAM_A,1283,45,1125,RUN-20260925-788184
2,P02,FAM_A,3564,125,3125,RUN-20260925-788184
2,P03,FAM_A,2101,73,1825,RUN-20260925-788184
2,P04,FAM_B,1286,52,1300,RUN-20260925-788184
2,P05,FAM_B,1103,44,1100,RUN-20260925-788184
3,P03,FAM_A,2072,73,1825,RUN-20260925-788184
3,P02,FAM_A,3566,125,3125,RUN-20260925-788184
3,P01,FAM_A,1283,45,1125,RUN-20260925-788184
3,P04,FAM_B,1285,52,1300,RUN-20260925-788184
3,P05,FAM_B,1109,44,1100,RUN-20260925-788184
4,P02,FAM_A,3571,125,3125,RUN-20260925-788184
4,P03,FAM_A,2097,73,1825,RUN-20260925-788184
4,P01,FAM_A,1291,45,1125,RUN-20260925-788184
4,P04,FAM_B,1283,52,1300,RUN-20260925-788184
4,P05,FAM_B,1106,44,1100,RUN-20260925-788184
