task_id,lot_id,parent_lot_id,sub_lot_index,product_id,operation_seq,machine_id,batch_count,batch_size_units,production_units,duration_min,start_min,end_min,release_time_min,setup_before_min,setup_end_min,setup_start_min,overtime_min,overtime_minutes,regular_minutes,is_overtime,calendar_shift
25,LOT_P04_L1,LOT_P04,1,P04,1,M01,40,25,1000,560,480,1040,480,25,480.0,455.0,0.0,0.0,560.0,0,REGULAR
4,LOT_P02_L1,LOT_P02,1,P02,1,M01,40,25,1000,960,1070,2030,480,30,1070.0,1040.0,480.0,480.0,480.0,1,REGULAR
7,LOT_P02_L2,LOT_P02,2,P02,1,M01,40,25,1000,960,2030,2990,480,0,2030.0,2030.0,110.0,110.0,850.0,1,REGULAR
10,LOT_P02_L3,LOT_P02,3,P02,1,M01,40,25,1000,960,2990,3950,480,0,2990.0,2990.0,370.0,370.0,590.0,1,REGULAR
13,LOT_P02_L4,LOT_P02,4,P02,1,M01,11,25,275,264,3950,4214,480,0,3950.0,3950.0,0.0,0.0,264.0,0,REGULAR
27,LOT_P04_L2,LOT_P04,2,P04,1,M01,1,25,25,14,4244,4258,480,30,4244.0,4214.0,0.0,0.0,14.0,0,REGULAR
0,LOT_P03_L1,LOT_P03,1,P03,1,M01,40,25,1000,1400,4293,5693,960,35,4293.0,4258.0,480.0,480.0,920.0,1,REGULAR
22,LOT_P05,LOT_P05,1,P05,1,M01,35,25,875,770,5728,6498,480,35,5728.0,5693.0,480.0,480.0,290.0,1,OVERTIME
16,LOT_P01_L1,LOT_P01,1,P01,1,M01,40,25,1000,720,6528,7248,480,30,6528.0,6498.0,48.0,48.0,672.0,1,REGULAR
2,LOT_P03_L2,LOT_P03,2,P03,1,M01,38,25,950,1330,7288,8618,960,40,7288.0,7248.0,392.0,392.0,938.0,1,REGULAR
19,LOT_P01_L2,LOT_P01,2,P01,1,M01,7,25,175,126,10600,10726,480,40,10600.0,10560.0,0.0,0.0,126.0,0,REGULAR
5,LOT_P02_L1,LOT_P02,1,P02,2,M02,40,25,1000,640,2030,2670,480,0,2030.0,2030.0,0.0,0.0,640.0,0,REGULAR
8,LOT_P02_L2,LOT_P02,2,P02,2,M02,40,25,1000,640,3360,4000,480,0,3360.0,3360.0,0.0,0.0,640.0,0,REGULAR
11,LOT_P02_L3,LOT_P02,3,P02,2,M02,40,25,1000,640,4800,5440,480,0,4800.0,4800.0,0.0,0.0,640.0,0,REGULAR
23,LOT_P05,LOT_P05,1,P05,2,M02,35,25,875,490,6498,6988,480,20,6498.0,6478.0,0.0,0.0,490.0,0,REGULAR
14,LOT_P02_L4,LOT_P02,4,P02,2,M02,11,25,275,176,7008,7184,480,20,7008.0,6988.0,0.0,0.0,176.0,0,REGULAR
17,LOT_P01_L1,LOT_P01,1,P01,2,M02,40,25,1000,480,7705,8185,480,25,7705.0,7680.0,0.0,0.0,480.0,0,REGULAR
1,LOT_P03_L1,LOT_P03,1,P03,2,M02,40,25,1000,400,8225,8625,960,40,8225.0,8185.0,0.0,0.0,400.0,0,REGULAR
3,LOT_P03_L2,LOT_P03,2,P03,2,M02,38,25,950,380,10560,10940,960,0,10560.0,10560.0,0.0,0.0,380.0,0,REGULAR
20,LOT_P01_L2,LOT_P01,2,P01,2,M02,7,25,175,84,10980,11064,480,40,10980.0,10940.0,0.0,0.0,84.0,0,REGULAR
26,LOT_P04_L1,LOT_P04,1,P04,2,M03,40,25,1000,480,2031,2511,480,0,2031.0,2031.0,0.0,0.0,480.0,0,REGULAR
6,LOT_P02_L1,LOT_P02,1,P02,3,M03,40,25,1000,800,3390,4190,480,30,3390.0,3360.0,0.0,0.0,800.0,0,REGULAR
9,LOT_P02_L2,LOT_P02,2,P02,3,M03,40,25,1000,800,4800,5600,480,0,4800.0,4800.0,0.0,0.0,800.0,0,REGULAR
12,LOT_P02_L3,LOT_P02,3,P02,3,M03,40,25,1000,800,6240,7040,480,0,6240.0,6240.0,0.0,0.0,800.0,0,REGULAR
24,LOT_P05,LOT_P05,1,P05,3,M03,35,25,875,630,7700,8330,480,20,7700.0,7680.0,0.0,0.0,630.0,0,REGULAR
15,LOT_P02_L4,LOT_P02,4,P02,3,M03,11,25,275,220,8350,8570,480,20,8350.0,8330.0,0.0,0.0,220.0,0,REGULAR
28,LOT_P04_L2,LOT_P04,2,P04,2,M03,1,25,25,12,8600,8612,480,30,8600.0,8570.0,0.0,0.0,12.0,0,REGULAR
18,LOT_P01_L1,LOT_P01,1,P01,3,M03,40,25,1000,600,10580,11180,480,20,10580.0,10560.0,0.0,0.0,600.0,0,REGULAR
21,LOT_P01_L2,LOT_P01,2,P01,3,M03,7,25,175,105,11180,11285,480,0,11180.0,11180.0,0.0,0.0,105.0,0,REGULAR
