time_min,time_hour,interval_min,total_load_kw,run_id
0,0.0,15.0,2.02,RUN-20260926-278d95
15,0.25,15.0,20.70380952380952,RUN-20260926-278d95
30,0.5,15.0,58.07142857142857,RUN-20260926-278d95
45,0.75,15.0,58.07142857142857,RUN-20260926-278d95
60,1.0,15.0,58.07142857142857,RUN-20260926-278d95
75,1.25,15.0,58.07142857142857,RUN-20260926-278d95
90,1.5,15.0,58.07142857142857,RUN-20260926-278d95
105,1.75,15.0,58.07142857142857,RUN-20260926-278d95
120,2.0,15.0,58.07142857142857,RUN-20260926-278d95
135,2.25,15.0,58.07142857142857,RUN-20260926-278d95
150,2.5,15.0,58.07142857142857,RUN-20260926-278d95
165,2.75,15.0,58.07142857142857,RUN-20260926-278d95
180,3.0,15.0,58.07142857142857,RUN-20260926-278d95
195,3.25,15.0,58.07142857142857,RUN-20260926-278d95
210,3.5,15.0,58.07142857142857,RUN-20260926-278d95
225,3.75,15.0,58.07142857142857,RUN-20260926-278d95
240,4.0,15.0,58.07142857142857,RUN-20260926-278d95
255,4.25,15.0,58.07142857142857,RUN-20260926-278d95
270,4.5,15.0,58.07142857142857,RUN-20260926-278d95
285,4.75,15.0,58.07142857142857,RUN-20260926-278d95
300,5.0,15.0,58.07142857142857,RUN-20260926-278d95
315,5.25,15.0,58.07142857142857,RUN-20260926-278d95
330,5.5,15.0,58.07142857142857,RUN-20260926-278d95
345,5.75,15.0,58.07142857142857,RUN-20260926-278d95
360,6.0,15.0,58.07142857142857,RUN-20260926-278d95
375,6.25,15.0,58.07142857142857,RUN-20260926-278d95
390,6.5,15.0,58.07142857142857,RUN-20260926-278d95
405,6.75,15.0,58.07142857142857,RUN-20260926-278d95
420,7.0,15.0,58.07142857142857,RUN-20260926-278d95
435,7.25,15.0,58.07142857142857,RUN-20260926-278d95
450,7.5,15.0,58.07142857142857,RUN-20260926-278d95
465,7.75,15.0,58.07142857142857,RUN-20260926-278d95
480,8.0,15.0,60.091428571428565,RUN-20260926-278d95
495,8.25,15.0,60.091428571428565,RUN-20260926-278d95
510,8.5,15.0,60.091428571428565,RUN-20260926-278d95
525,8.75,15.0,60.091428571428565,RUN-20260926-278d95
540,9.0,15.0,60.091428571428565,RUN-20260926-278d95
555,9.25,15.0,60.091428571428565,RUN-20260926-278d95
570,9.5,15.0,60.091428571428565,RUN-20260926-278d95
585,9.75,15.0,129.35,RUN-20260926-278d95
600,10.0,15.0,167.11444444444444,RUN-20260926-278d95
615,10.25,15.0,185.99666666666667,RUN-20260926-278d95
630,10.5,15.0,185.99666666666667,RUN-20260926-278d95
645,10.75,15.0,185.99666666666667,RUN-20260926-278d95
660,11.0,15.0,185.99666666666667,RUN-20260926-278d95
675,11.25,15.0,185.99666666666667,RUN-20260926-278d95
690,11.5,15.0,185.99666666666667,RUN-20260926-278d95
705,11.75,15.0,185.99666666666667,RUN-20260926-278d95
720,12.0,15.0,185.99666666666667,RUN-20260926-278d95
735,12.25,15.0,185.99666666666667,RUN-20260926-278d95
750,12.5,15.0,185.99666666666667,RUN-20260926-278d95
765,12.75,15.0,185.99666666666667,RUN-20260926-278d95
780,13.0,15.0,185.99666666666667,RUN-20260926-278d95
795,13.25,15.0,185.99666666666667,RUN-20260926-278d95
810,13.5,15.0,185.99666666666667,RUN-20260926-278d95
825,13.75,15.0,185.99666666666667,RUN-20260926-278d95
840,14.0,15.0,185.99666666666667,RUN-20260926-278d95
855,14.25,15.0,185.99666666666667,RUN-20260926-278d95
870,14.5,15.0,185.99666666666667,RUN-20260926-278d95
885,14.75,15.0,185.99666666666667,RUN-20260926-278d95
900,15.0,15.0,185.99666666666667,RUN-20260926-278d95
915,15.25,15.0,185.99666666666667,RUN-20260926-278d95
930,15.5,15.0,185.99666666666667,RUN-20260926-278d95
945,15.75,15.0,185.99666666666667,RUN-20260926-278d95
960,16.0,15.0,185.99666666666667,RUN-20260926-278d95
975,16.25,15.0,185.99666666666667,RUN-20260926-278d95
990,16.5,15.0,185.99666666666667,RUN-20260926-278d95
1005,16.75,15.0,185.99666666666667,RUN-20260926-278d95
1020,17.0,15.0,185.99666666666667,RUN-20260926-278d95
1035,17.25,15.0,185.99666666666667,RUN-20260926-278d95
1050,17.5,15.0,185.99666666666667,RUN-20260926-278d95
1065,17.75,15.0,61.48933333333333,RUN-20260926-278d95
1080,18.0,15.0,61.82955555555554,RUN-20260926-278d95
1095,18.25,15.0,62.90999999999998,RUN-20260926-278d95
1110,18.5,15.0,94.23266666666665,RUN-20260926-278d95
1125,18.75,15.0,121.63999999999999,RUN-20260926-278d95
1140,19.0,15.0,121.63999999999999,RUN-20260926-278d95
1155,19.25,15.0,121.63999999999999,RUN-20260926-278d95
1170,19.5,15.0,121.63999999999999,RUN-20260926-278d95
1185,19.75,15.0,121.63999999999999,RUN-20260926-278d95
1200,20.0,15.0,121.63999999999999,RUN-20260926-278d95
1215,20.25,15.0,121.63999999999999,RUN-20260926-278d95
1230,20.5,15.0,121.63999999999999,RUN-20260926-278d95
1245,20.75,15.0,121.63999999999999,RUN-20260926-278d95
1260,21.0,15.0,121.63999999999999,RUN-20260926-278d95
1275,21.25,15.0,121.63999999999999,RUN-20260926-278d95
1290,21.5,15.0,121.63999999999999,RUN-20260926-278d95
1305,21.75,15.0,121.63999999999999,RUN-20260926-278d95
1320,22.0,15.0,121.63999999999999,RUN-20260926-278d95
1335,22.25,15.0,121.63999999999999,RUN-20260926-278d95
1350,22.5,15.0,121.63999999999999,RUN-20260926-278d95
1365,22.75,15.0,121.63999999999999,RUN-20260926-278d95
1380,23.0,15.0,121.63999999999999,RUN-20260926-278d95
1395,23.25,15.0,121.63999999999999,RUN-20260926-278d95
1410,23.5,15.0,82.39333333333333,RUN-20260926-278d95
1425,23.75,15.0,62.769999999999996,RUN-20260926-278d95
1440,24.0,15.0,60.75,RUN-20260926-278d95
