forecast_date,product_id,forecast_demand,model_used,run_id
2018-01-01,P01,153,LightGBM,RUN-20260926-278d95
2018-01-02,P01,168,LightGBM,RUN-20260926-278d95
2018-01-03,P01,165,LightGBM,RUN-20260926-278d95
2018-01-04,P01,174,LightGBM,RUN-20260926-278d95
2018-01-05,P01,194,LightGBM,RUN-20260926-278d95
2018-01-06,P01,219,LightGBM,RUN-20260926-278d95
2018-01-07,P01,230,LightGBM,RUN-20260926-278d95
2018-01-08,P01,144,LightGBM,RUN-20260926-278d95
2018-01-09,P01,168,LightGBM,RUN-20260926-278d95
2018-01-10,P01,170,LightGBM,RUN-20260926-278d95
2018-01-11,P01,176,LightGBM,RUN-20260926-278d95
2018-01-12,P01,189,LightGBM,RUN-20260926-278d95
2018-01-13,P01,221,LightGBM,RUN-20260926-278d95
2018-01-14,P01,228,LightGBM,RUN-20260926-278d95
2018-01-15,P01,148,LightGBM,RUN-20260926-278d95
2018-01-16,P01,171,LightGBM,RUN-20260926-278d95
2018-01-17,P01,171,LightGBM,RUN-20260926-278d95
2018-01-18,P01,179,LightGBM,RUN-20260926-278d95
2018-01-19,P01,186,LightGBM,RUN-20260926-278d95
2018-01-20,P01,216,LightGBM,RUN-20260926-278d95
2018-01-21,P01,238,LightGBM,RUN-20260926-278d95
2018-01-22,P01,145,LightGBM,RUN-20260926-278d95
2018-01-23,P01,172,LightGBM,RUN-20260926-278d95
2018-01-24,P01,172,LightGBM,RUN-20260926-278d95
2018-01-25,P01,182,LightGBM,RUN-20260926-278d95
2018-01-26,P01,189,LightGBM,RUN-20260926-278d95
2018-01-27,P01,228,LightGBM,RUN-20260926-278d95
2018-01-28,P01,238,LightGBM,RUN-20260926-278d95
2018-01-01,P02,396,Holt-Winters,RUN-20260926-278d95
2018-01-02,P02,463,Holt-Winters,RUN-20260926-278d95
2018-01-03,P02,478,Holt-Winters,RUN-20260926-278d95
2018-01-04,P02,508,Holt-Winters,RUN-20260926-278d95
2018-01-05,P02,538,Holt-Winters,RUN-20260926-278d95
2018-01-06,P02,570,Holt-Winters,RUN-20260926-278d95
2018-01-07,P02,604,Holt-Winters,RUN-20260926-278d95
2018-01-08,P02,397,Holt-Winters,RUN-20260926-278d95
2018-01-09,P02,464,Holt-Winters,RUN-20260926-278d95
2018-01-10,P02,479,Holt-Winters,RUN-20260926-278d95
2018-01-11,P02,509,Holt-Winters,RUN-20260926-278d95
2018-01-12,P02,539,Holt-Winters,RUN-20260926-278d95
2018-01-13,P02,571,Holt-Winters,RUN-20260926-278d95
2018-01-14,P02,605,Holt-Winters,RUN-20260926-278d95
2018-01-15,P02,397,Holt-Winters,RUN-20260926-278d95
