period_week,machine_id,regular_capacity_hours,overtime_hours,total_capacity_hours,utilized_hours,utilization_pct,shadow_price_usd_per_hr,is_bottleneck,run_id
1,M01,86.4,48.0,134.4,86.5,64.4,-12814.14,YES,RUN-20260926-278d95
1,M02,86.4,0.0,86.4,40.9,47.3,0.0,NO,RUN-20260926-278d95
1,M03,86.4,0.0,86.4,50.4,58.3,0.0,NO,RUN-20260926-278d95
2,M01,86.4,48.0,134.4,86.3,64.2,-9388.66,YES,RUN-20260926-278d95
2,M02,86.4,0.0,86.4,40.0,46.3,0.0,NO,RUN-20260926-278d95
2,M03,86.4,0.0,86.4,52.4,60.6,0.0,NO,RUN-20260926-278d95
3,M01,86.4,48.0,134.4,86.5,64.4,-5967.23,YES,RUN-20260926-278d95
3,M02,86.4,0.0,86.4,40.0,46.3,0.0,NO,RUN-20260926-278d95
3,M03,86.4,0.0,86.4,52.7,61.0,0.0,NO,RUN-20260926-278d95
4,M01,86.4,48.0,134.4,86.3,64.2,-2532.52,YES,RUN-20260926-278d95
4,M02,86.4,0.0,86.4,39.9,46.2,0.0,NO,RUN-20260926-278d95
4,M03,86.4,0.0,86.4,52.6,60.9,0.0,NO,RUN-20260926-278d95
