period_week,material_id,material_name,gross_req,safety_stock,projected_avail,net_req,planned_receipt,planned_release_week,planned_release_qty,action_message,order_cost,run_id
1,RAW_STEEL_A,Sac Plaka 4mm,3325.0,223,1175.0,0.0,0,0,0,NONE,0.0,RUN-20260926-278d95
2,RAW_STEEL_A,Sac Plaka 4mm,3570.0,223,605.0,2618.0,3000,1,3000,RELEASE ORDER,115500.0,RUN-20260926-278d95
3,RAW_STEEL_A,Sac Plaka 4mm,3605.0,223,500.0,3223.0,3500,2,3500,RELEASE ORDER,134750.0,RUN-20260926-278d95
4,RAW_STEEL_A,Sac Plaka 4mm,3605.0,223,395.0,3328.0,3500,3,3500,RELEASE ORDER,134750.0,RUN-20260926-278d95
1,RAW_STEEL_B,Yapısal Çelik Sac 8mm,10482.5,61,317.5,2543.5,2800,0,2800,EXPEDITE (Past Due),117600.0,RUN-20260926-278d95
2,RAW_STEEL_B,Yapısal Çelik Sac 8mm,10522.5,61,195.0,10266.0,10400,1,10400,RELEASE ORDER,436800.0,RUN-20260926-278d95
3,RAW_STEEL_B,Yapısal Çelik Sac 8mm,10445.0,61,150.0,10311.0,10400,2,10400,RELEASE ORDER,436800.0,RUN-20260926-278d95
4,RAW_STEEL_B,Yapısal Çelik Sac 8mm,10522.5,61,427.5,10433.5,10800,3,10800,RELEASE ORDER,453600.0,RUN-20260926-278d95
1,RAW_ALLOY_ROD,Alaşımlı Çelik Mil,6187.5,869,1062.5,1056.5,1250,-1,1250,EXPEDITE (Past Due),97500.0,RUN-20260926-278d95
2,RAW_ALLOY_ROD,Alaşımlı Çelik Mil,5500.0,869,1062.5,5306.5,5500,0,5500,EXPEDITE (Past Due),429000.0,RUN-20260926-278d95
3,RAW_ALLOY_ROD,Alaşımlı Çelik Mil,5500.0,869,1062.5,5306.5,5500,1,5500,RELEASE ORDER,429000.0,RUN-20260926-278d95
4,RAW_ALLOY_ROD,Alaşımlı Çelik Mil,5362.5,869,950.0,5169.0,5250,2,5250,RELEASE ORDER,409500.0,RUN-20260926-278d95
1,COATING_POWDER,Elektrostatik Toz Boya,628.8,4,21.2,32.8,50,0,50,EXPEDITE (Past Due),8000.0,RUN-20260926-278d95
2,COATING_POWDER,Elektrostatik Toz Boya,631.2,4,40.0,614.0,650,1,650,RELEASE ORDER,104000.0,RUN-20260926-278d95
3,COATING_POWDER,Elektrostatik Toz Boya,626.8,4,13.2,590.8,600,2,600,RELEASE ORDER,96000.0,RUN-20260926-278d95
4,COATING_POWDER,Elektrostatik Toz Boya,631.2,4,32.0,622.0,650,3,650,RELEASE ORDER,104000.0,RUN-20260926-278d95
