task_id,lot_id,parent_lot_id,sub_lot_index,product_id,operation_seq,machine_id,batch_count,batch_size_units,production_units,duration_min,start_min,end_min,release_time_min,setup_before_min,setup_end_min,setup_start_min,schedule_week,overtime_min,overtime_minutes,regular_minutes,is_overtime,calendar_shift
16,LOT_P04_L1,LOT_P04,1,P04,1,M01,40,25,1000,560,25,585,0,25,25.0,0.0,1,455.0,455.0,105.0,1,OVERTIME
10,LOT_P01,LOT_P01,1,P01,1,M01,27,25,675,486,605,1091,480,20,605.0,585.0,1,0.0,0.0,486.0,0,REGULAR
4,LOT_P02_L1,LOT_P02,1,P02,1,M01,40,25,1000,960,1117,2077,480,25,1117.0,1092.0,1,480.0,480.0,480.0,1,REGULAR
18,LOT_P04_L2,LOT_P04,2,P04,1,M01,1,25,25,14,2107,2121,0,30,2107.0,2077.0,1,0.0,0.0,14.0,0,REGULAR
13,LOT_P05,LOT_P05,1,P05,1,M01,35,25,875,770,2146,2916,480,25,2146.0,2121.0,1,36.0,36.0,734.0,1,REGULAR
7,LOT_P02_L2,LOT_P02,2,P02,1,M01,34,25,850,816,2936,3752,480,20,2936.0,2916.0,1,424.0,424.0,392.0,1,OVERTIME
0,LOT_P03_L1,LOT_P03,1,P03,1,M01,40,25,1000,1400,3797,5197,960,45,3797.0,3752.0,1,480.0,480.0,920.0,1,REGULAR
2,LOT_P03_L2,LOT_P03,2,P03,1,M01,5,25,125,175,5197,5372,960,0,5197.0,5197.0,1,0.0,0.0,175.0,0,REGULAR
11,LOT_P01,LOT_P01,1,P01,2,M02,27,25,675,324,1091,1415,480,25,1091.0,1066.0,1,0.0,0.0,324.0,0,REGULAR
5,LOT_P02_L1,LOT_P02,1,P02,2,M02,40,25,1000,640,2077,2717,480,25,2077.0,2052.0,1,0.0,0.0,640.0,0,REGULAR
8,LOT_P02_L2,LOT_P02,2,P02,2,M02,34,25,850,544,3752,4296,480,0,3752.0,3752.0,1,0.0,0.0,544.0,0,REGULAR
14,LOT_P05,LOT_P05,1,P05,2,M02,35,25,875,490,4820,5310,480,20,4820.0,4800.0,1,0.0,0.0,490.0,0,REGULAR
1,LOT_P03_L1,LOT_P03,1,P03,2,M02,40,25,1000,400,5345,5745,960,35,5345.0,5310.0,1,0.0,0.0,400.0,0,REGULAR
3,LOT_P03_L2,LOT_P03,2,P03,2,M02,5,25,125,50,6681,6731,960,0,6681.0,6681.0,1,0.0,0.0,50.0,0,REGULAR
17,LOT_P04_L1,LOT_P04,1,P04,2,M03,40,25,1000,480,585,1065,0,0,585.0,585.0,1,0.0,0.0,480.0,0,REGULAR
19,LOT_P04_L2,LOT_P04,2,P04,2,M03,1,25,25,12,2121,2133,0,0,2121.0,2121.0,1,0.0,0.0,12.0,0,REGULAR
12,LOT_P01,LOT_P01,1,P01,3,M03,27,25,675,405,2153,2558,480,20,2153.0,2133.0,1,0.0,0.0,405.0,0,REGULAR
6,LOT_P02_L1,LOT_P02,1,P02,3,M03,40,25,1000,800,3385,4185,480,25,3385.0,3360.0,1,0.0,0.0,800.0,0,REGULAR
9,LOT_P02_L2,LOT_P02,2,P02,3,M03,34,25,850,680,4800,5480,480,0,4800.0,4800.0,1,0.0,0.0,680.0,0,REGULAR
15,LOT_P05,LOT_P05,1,P05,3,M03,35,25,875,630,6260,6890,480,20,6260.0,6240.0,1,0.0,0.0,630.0,0,REGULAR
