period_week,product_id,family_id,weekly_forecast_units,planned_batches,planned_units,run_id
1,P03,FAM_A,2140,45,1125,RUN-20260926-278d95
1,P02,FAM_A,3557,74,1850,RUN-20260926-278d95
1,P01,FAM_A,1303,27,675,RUN-20260926-278d95
1,P05,FAM_B,1103,35,875,RUN-20260926-278d95
1,P04,FAM_B,1302,41,1025,RUN-20260926-278d95
2,P01,FAM_A,1296,25,625,RUN-20260926-278d95
2,P02,FAM_A,3564,67,1675,RUN-20260926-278d95
2,P03,FAM_A,2126,40,1000,RUN-20260926-278d95
2,P05,FAM_B,1113,45,1125,RUN-20260926-278d95
2,P04,FAM_B,1303,52,1300,RUN-20260926-278d95
3,P03,FAM_A,2106,40,1000,RUN-20260926-278d95
3,P01,FAM_A,1309,25,625,RUN-20260926-278d95
3,P02,FAM_A,3566,67,1675,RUN-20260926-278d95
3,P04,FAM_B,1323,53,1325,RUN-20260926-278d95
3,P05,FAM_B,1112,44,1100,RUN-20260926-278d95
4,P01,FAM_A,1326,25,625,RUN-20260926-278d95
4,P02,FAM_A,3571,67,1675,RUN-20260926-278d95
4,P03,FAM_A,2116,39,975,RUN-20260926-278d95
4,P05,FAM_B,1123,45,1125,RUN-20260926-278d95
4,P04,FAM_B,1333,53,1325,RUN-20260926-278d95
