date,store,item,sales
2017-01-01,1,1,133
2017-01-01,1,2,214
2017-01-01,1,3,186
2017-01-01,1,4,126
2017-01-01,1,5,104
2017-01-01,2,1,113
2017-01-01,2,2,211
2017-01-01,2,3,182
2017-01-01,2,4,139
2017-01-01,2,5,92
2017-01-01,3,1,136
2017-01-01,3,2,221
2017-01-01,3,3,180
2017-01-01,3,4,150
2017-01-01,3,5,118
2017-01-01,4,1,117
2017-01-01,4,2,204
2017-01-01,4,3,184
2017-01-01,4,4,132
2017-01-01,4,5,120
2017-01-01,5,1,114
2017-01-01,5,2,216
2017-01-01,5,3,169
2017-01-01,5,4,130
2017-01-01,5,5,109
2017-01-01,6,1,118
2017-01-01,6,2,216
2017-01-01,6,3,196
2017-01-01,6,4,145
2017-01-01,6,5,110
2017-01-01,7,1,98
2017-01-01,7,2,226
2017-01-01,7,3,204
2017-01-01,7,4,138
2017-01-01,7,5,103
2017-01-01,8,1,121
2017-01-01,8,2,208
2017-01-01,8,3,183
2017-01-01,8,4,152
2017-01-01,8,5,104
2017-01-01,9,1,115
2017-01-01,9,2,219
2017-01-01,9,3,176
2017-01-01,9,4,128
2017-01-01,9,5,107
2017-01-01,10,1,115
2017-01-01,10,2,231
2017-01-01,10,3,189
2017-01-01,10,4,151
2017-01-01,10,5,116
2017-01-02,1,1,122
2017-01-02,1,2,213
2017-01-02,1,3,191
2017-01-02,1,4,143
2017-01-02,1,5,100
2017-01-02,2,1,113
2017-01-02,2,2,210
2017-01-02,2,3,164
2017-01-02,2,4,143
2017-01-02,2,5,100
2017-01-02,3,1,114
2017-01-02,3,2,220
2017-01-02,3,3,179
2017-01-02,3,4,134
2017-01-02,3,5,122
2017-01-02,4,1,108
2017-01-02,4,2,208
2017-01-02,4,3,184
2017-01-02,4,4,135
2017-01-02,4,5,105
2017-01-02,5,1,111
2017-01-02,5,2,223
2017-01-02,5,3,182
2017-01-02,5,4,141
2017-01-02,5,5,105
2017-01-02,6,1,114
2017-01-02,6,2,219
2017-01-02,6,3,188
2017-01-02,6,4,153
2017-01-02,6,5,119
2017-01-02,7,1,124
2017-01-02,7,2,228
2017-01-02,7,3,171
2017-01-02,7,4,134
2017-01-02,7,5,114
2017-01-02,8,1,119
2017-01-02,8,2,223
2017-01-02,8,3,188
