date,store,item,sales
2017-01-01,1,1,84
2017-01-01,1,2,156
2017-01-01,1,3,118
2017-01-01,1,4,88
2017-01-01,1,5,74
2017-01-01,2,1,81
2017-01-01,2,2,147
2017-01-01,2,3,105
2017-01-01,2,4,96
2017-01-01,2,5,84
2017-01-01,3,1,77
2017-01-01,3,2,144
2017-01-01,3,3,119
2017-01-01,3,4,89
2017-01-01,3,5,80
2017-01-01,4,1,80
2017-01-01,4,2,146
2017-01-01,4,3,113
2017-01-01,4,4,94
2017-01-01,4,5,78
2017-01-01,5,1,85
2017-01-01,5,2,145
2017-01-01,5,3,129
2017-01-01,5,4,81
2017-01-01,5,5,78
2017-01-01,6,1,70
2017-01-01,6,2,146
2017-01-01,6,3,127
2017-01-01,6,4,94
2017-01-01,6,5,72
2017-01-01,7,1,77
2017-01-01,7,2,150
2017-01-01,7,3,122
2017-01-01,7,4,96
2017-01-01,7,5,72
2017-01-01,8,1,72
2017-01-01,8,2,150
2017-01-01,8,3,117
2017-01-01,8,4,83
2017-01-01,8,5,76
2017-01-01,9,1,79
2017-01-01,9,2,151
2017-01-01,9,3,115
2017-01-01,9,4,92
2017-01-01,9,5,68
2017-01-01,10,1,76
2017-01-01,10,2,148
2017-01-01,10,3,128
2017-01-01,10,4,94
2017-01-01,10,5,80
2017-01-02,1,1,87
2017-01-02,1,2,168
2017-01-02,1,3,120
2017-01-02,1,4,97
2017-01-02,1,5,80
2017-01-02,2,1,85
2017-01-02,2,2,159
2017-01-02,2,3,118
2017-01-02,2,4,87
2017-01-02,2,5,76
2017-01-02,3,1,79
2017-01-02,3,2,151
2017-01-02,3,3,128
2017-01-02,3,4,87
2017-01-02,3,5,73
2017-01-02,4,1,81
2017-01-02,4,2,149
2017-01-02,4,3,110
2017-01-02,4,4,87
2017-01-02,4,5,78
2017-01-02,5,1,87
2017-01-02,5,2,144
2017-01-02,5,3,114
2017-01-02,5,4,90
2017-01-02,5,5,64
2017-01-02,6,1,78
2017-01-02,6,2,141
2017-01-02,6,3,127
2017-01-02,6,4,86
2017-01-02,6,5,83
2017-01-02,7,1,85
2017-01-02,7,2,147
2017-01-02,7,3,114
2017-01-02,7,4,89
2017-01-02,7,5,74
2017-01-02,8,1,82
2017-01-02,8,2,146
2017-01-02,8,3,124
2017-01-02,8,4,91
2017-01-02,8,5,73
2017-01-02,9,1,76
2017-01-02,9,2,149
2017-01-02,9,3,116
2017-01-02,9,4,90
2017-01-02,9,5,75
2017-01-02,10,1,81
2017-01-02,10,2,159
2017-01-02,10,3,119
2017-01-02,10,4,95
2017-01-02,10,5,76
2017-01-03,1,1,79
2017-01-03,1,2,149
2017-01-03,1,3,120
2017-01-03,1,4,91
2017-01-03,1,5,70
2017-01-03,2,1,73
2017-01-03,2,2,153
2017-01-03,2,3,125
2017-01-03,2,4,94
2017-01-03,2,5,76
2017-01-03,3,1,84
2017-01-03,3,2,154
2017-01-03,3,3,124
2017-01-03,3,4,86
2017-01-03,3,5,70
2017-01-03,4,1,78
2017-01-03,4,2,150
2017-01-03,4,3,119
2017-01-03,4,4,81
2017-01-03,4,5,84
2017-01-03,5,1,79
2017-01-03,5,2,151
2017-01-03,5,3,126
2017-01-03,5,4,78
2017-01-03,5,5,72
2017-01-03,6,1,78
2017-01-03,6,2,148
2017-01-03,6,3,119
2017-01-03,6,4,97
2017-01-03,6,5,78
2017-01-03,7,1,85
2017-01-03,7,2,150
2017-01-03,7,3,113
2017-01-03,7,4,80
2017-01-03,7,5,67
2017-01-03,8,1,82
2017-01-03,8,2,150
2017-01-03,8,3,119
2017-01-03,8,4,88
2017-01-03,8,5,85
2017-01-03,9,1,76
2017-01-03,9,2,155
2017-01-03,9,3,120
2017-01-03,9,4,90
2017-01-03,9,5,81
2017-01-03,10,1,87
2017-01-03,10,2,149
2017-01-03,10,3,124
2017-01-03,10,4,92
2017-01-03,10,5,75
2017-01-04,1,1,81
2017-01-04,1,2,147
2017-01-04,1,3,119
2017-01-04,1,4,87
2017-01-04,1,5,80
2017-01-04,2,1,80
2017-01-04,2,2,144
2017-01-04,2,3,117
2017-01-04,2,4,74
2017-01-04,2,5,73
2017-01-04,3,1,80
2017-01-04,3,2,150
2017-01-04,3,3,130
2017-01-04,3,4,93
2017-01-04,3,5,78
2017-01-04,4,1,72
2017-01-04,4,2,148
2017-01-04,4,3,118
2017-01-04,4,4,86
2017-01-04,4,5,71
2017-01-04,5,1,71
2017-01-04,5,2,144
2017-01-04,5,3,125
2017-01-04,5,4,89
2017-01-04,5,5,73
2017-01-04,6,1,80
2017-01-04,6,2,156
2017-01-04,6,3,120
2017-01-04,6,4,93
2017-01-04,6,5,71
2017-01-04,7,1,77
2017-01-04,7,2,152
2017-01-04,7,3,130
2017-01-04,7,4,97
2017-01-04,7,5,78
2017-01-04,8,1,81
2017-01-04,8,2,157
2017-01-04,8,3,124
2017-01-04,8,4,79
2017-01-04,8,5,70
2017-01-04,9,1,82
2017-01-04,9,2,141
2017-01-04,9,3,116
2017-01-04,9,4,87
2017-01-04,9,5,74
2017-01-04,10,1,79
2017-01-04,10,2,149
2017-01-04,10,3,124
2017-01-04,10,4,89
2017-01-04,10,5,73
2017-01-05,1,1,74
2017-01-05,1,2,155
2017-01-05,1,3,117
2017-01-05,1,4,85
2017-01-05,1,5,76
2017-01-05,2,1,77
2017-01-05,2,2,148
2017-01-05,2,3,122
2017-01-05,2,4,89
2017-01-05,2,5,87
2017-01-05,3,1,80
2017-01-05,3,2,153
2017-01-05,3,3,111
2017-01-05,3,4,86
2017-01-05,3,5,70
2017-01-05,4,1,76
2017-01-05,4,2,152
2017-01-05,4,3,126
2017-01-05,4,4,92
2017-01-05,4,5,74
2017-01-05,5,1,77
2017-01-05,5,2,156
2017-01-05,5,3,131
2017-01-05,5,4,91
2017-01-05,5,5,80
2017-01-05,6,1,82
2017-01-05,6,2,154
2017-01-05,6,3,115
2017-01-05,6,4,88
2017-01-05,6,5,77
2017-01-05,7,1,86
2017-01-05,7,2,146
2017-01-05,7,3,110
2017-01-05,7,4,88
2017-01-05,7,5,80
2017-01-05,8,1,72
2017-01-05,8,2,144
2017-01-05,8,3,121
2017-01-05,8,4,90
2017-01-05,8,5,78
2017-01-05,9,1,74
2017-01-05,9,2,149
2017-01-05,9,3,126
2017-01-05,9,4,84
2017-01-05,9,5,83
2017-01-05,10,1,75
2017-01-05,10,2,155
2017-01-05,10,3,118
2017-01-05,10,4,85
2017-01-05,10,5,73
2017-01-06,1,1,83
2017-01-06,1,2,150
2017-01-06,1,3,126
2017-01-06,1,4,98
2017-01-06,1,5,70
2017-01-06,2,1,74
2017-01-06,2,2,144
2017-01-06,2,3,116
2017-01-06,2,4,96
2017-01-06,2,5,78
2017-01-06,3,1,78
2017-01-06,3,2,150
2017-01-06,3,3,128
2017-01-06,3,4,100
2017-01-06,3,5,77
2017-01-06,4,1,67
2017-01-06,4,2,152
2017-01-06,4,3,125
2017-01-06,4,4,92
2017-01-06,4,5,79
2017-01-06,5,1,82
2017-01-06,5,2,144
2017-01-06,5,3,116
2017-01-06,5,4,89
2017-01-06,5,5,81
2017-01-06,6,1,77
2017-01-06,6,2,153
2017-01-06,6,3,122
2017-01-06,6,4,98
2017-01-06,6,5,75
2017-01-06,7,1,72
2017-01-06,7,2,154
2017-01-06,7,3,131
