time_min,time_hour,interval_min,total_load_kw
0,0.0,15.0,2.83
15,0.25,15.0,2.83
30,0.5,15.0,2.83
45,0.75,15.0,2.83
60,1.0,15.0,2.83
75,1.25,15.0,2.83
90,1.5,15.0,2.83
105,1.75,15.0,2.83
120,2.0,15.0,2.83
135,2.25,15.0,2.83
150,2.5,15.0,2.83
165,2.75,15.0,2.83
180,3.0,15.0,2.83
195,3.25,15.0,2.83
210,3.5,15.0,2.83
225,3.75,15.0,2.83
240,4.0,15.0,2.83
255,4.25,15.0,2.83
270,4.5,15.0,2.83
285,4.75,15.0,2.83
300,5.0,15.0,2.83
315,5.25,15.0,2.83
330,5.5,15.0,2.83
345,5.75,15.0,2.83
360,6.0,15.0,2.83
375,6.25,15.0,2.83
390,6.5,15.0,2.83
405,6.75,15.0,2.83
420,7.0,15.0,2.83
435,7.25,15.0,2.83
450,7.5,15.0,2.83
465,7.75,15.0,2.83
480,8.0,15.0,61.06545454545454
495,8.25,15.0,61.06545454545454
510,8.5,15.0,61.06545454545454
525,8.75,15.0,61.06545454545454
540,9.0,15.0,61.06545454545454
555,9.25,15.0,61.06545454545454
570,9.5,15.0,61.06545454545454
585,9.75,15.0,61.06545454545454
600,10.0,15.0,61.06545454545454
615,10.25,15.0,61.06545454545454
630,10.5,15.0,61.06545454545454
645,10.75,15.0,61.06545454545454
660,11.0,15.0,61.06545454545454
675,11.25,15.0,61.06545454545454
690,11.5,15.0,61.06545454545454
705,11.75,15.0,61.06545454545454
720,12.0,15.0,61.06545454545454
735,12.25,15.0,61.06545454545454
750,12.5,15.0,61.06545454545454
765,12.75,15.0,61.06545454545454
780,13.0,15.0,61.06545454545454
795,13.25,15.0,61.06545454545454
810,13.5,15.0,61.06545454545454
825,13.75,15.0,61.06545454545454
840,14.0,15.0,61.06545454545454
855,14.25,15.0,61.06545454545454
870,14.5,15.0,61.06545454545454
885,14.75,15.0,61.06545454545454
900,15.0,15.0,61.06545454545454
915,15.25,15.0,61.06545454545454
930,15.5,15.0,61.06545454545454
945,15.75,15.0,61.06545454545454
960,16.0,15.0,61.06545454545454
975,16.25,15.0,61.06545454545454
990,16.5,15.0,61.06545454545454
1005,16.75,15.0,61.06545454545454
1020,17.0,15.0,61.06545454545454
1035,17.25,15.0,61.06545454545454
1050,17.5,15.0,61.06545454545454
1065,17.75,15.0,61.06545454545454
1080,18.0,15.0,61.06545454545454
1095,18.25,15.0,61.06545454545454
1110,18.5,15.0,61.06545454545454
1125,18.75,15.0,61.06545454545454
1140,19.0,15.0,61.06545454545454
1155,19.25,15.0,61.06545454545454
1170,19.5,15.0,61.06545454545454
1185,19.75,15.0,61.06545454545454
1200,20.0,15.0,61.06545454545454
1215,20.25,15.0,53.462060606060604
1230,20.5,15.0,4.04
1245,20.75,15.0,51.023999999999994
1260,21.0,15.0,62.769999999999996
1275,21.25,15.0,62.769999999999996
1290,21.5,15.0,62.769999999999996
1305,21.75,15.0,62.769999999999996
1320,22.0,15.0,62.769999999999996
1335,22.25,15.0,62.769999999999996
1350,22.5,15.0,62.769999999999996
1365,22.75,15.0,62.769999999999996
1380,23.0,15.0,62.769999999999996
1395,23.25,15.0,62.769999999999996
1410,23.5,15.0,62.769999999999996
1425,23.75,15.0,62.769999999999996
1440,24.0,15.0,62.769999999999996
1455,24.25,15.0,62.769999999999996
1470,24.5,15.0,62.769999999999996
1485,24.75,15.0,62.769999999999996
1500,25.0,15.0,62.769999999999996
1515,25.25,15.0,62.769999999999996
1530,25.5,15.0,62.769999999999996
1545,25.75,15.0,62.769999999999996
1560,26.0,15.0,62.769999999999996
1575,26.25,15.0,62.769999999999996
1590,26.5,15.0,62.769999999999996
1605,26.75,15.0,62.769999999999996
1620,27.0,15.0,62.769999999999996
1635,27.25,15.0,62.769999999999996
1650,27.5,15.0,62.769999999999996
1665,27.75,15.0,62.769999999999996
1680,28.0,15.0,62.769999999999996
1695,28.25,15.0,62.769999999999996
1710,28.5,15.0,62.769999999999996
1725,28.75,15.0,62.769999999999996
1740,29.0,15.0,62.769999999999996
1755,29.25,15.0,62.769999999999996
1770,29.5,15.0,62.769999999999996
1785,29.75,15.0,62.769999999999996
1800,30.0,15.0,62.769999999999996
1815,30.25,15.0,62.769999999999996
1830,30.5,15.0,62.769999999999996
1845,30.75,15.0,62.769999999999996
1860,31.0,15.0,62.769999999999996
1875,31.25,15.0,62.769999999999996
1890,31.5,15.0,62.769999999999996
1905,31.75,15.0,62.769999999999996
1920,32.0,15.0,62.769999999999996
1935,32.25,15.0,62.769999999999996
1950,32.5,15.0,62.769999999999996
1965,32.75,15.0,62.769999999999996
1980,33.0,15.0,62.769999999999996
1995,33.25,15.0,62.769999999999996
2010,33.5,15.0,62.769999999999996
2025,33.75,15.0,62.769999999999996
2040,34.0,15.0,62.769999999999996
2055,34.25,15.0,62.769999999999996
2070,34.5,15.0,62.769999999999996
2085,34.75,15.0,62.769999999999996
2100,35.0,15.0,62.769999999999996
2115,35.25,15.0,62.769999999999996
2130,35.5,15.0,62.769999999999996
2145,35.75,15.0,62.769999999999996
2160,36.0,15.0,62.769999999999996
2175,36.25,15.0,62.769999999999996
2190,36.5,15.0,62.769999999999996
2205,36.75,15.0,109.86600000000001
2220,37.0,15.0,121.64
2235,37.25,15.0,121.64
2250,37.5,15.0,121.64
2265,37.75,15.0,121.64
2280,38.0,15.0,121.64
2295,38.25,15.0,121.64
2310,38.5,15.0,121.64
2325,38.75,15.0,121.64
2340,39.0,15.0,121.64
2355,39.25,15.0,121.64
2370,39.5,15.0,121.64
2385,39.75,15.0,121.64
2400,40.0,15.0,121.64
2415,40.25,15.0,121.64
2430,40.5,15.0,121.64
2445,40.75,15.0,121.64
2460,41.0,15.0,121.64
2475,41.25,15.0,121.64
2490,41.5,15.0,121.64
2505,41.75,15.0,121.64
2520,42.0,15.0,121.64
2535,42.25,15.0,121.64
2550,42.5,15.0,121.64
2565,42.75,15.0,121.64
2580,43.0,15.0,121.64
2595,43.25,15.0,121.64
2610,43.5,15.0,121.64
2625,43.75,15.0,121.64
2640,44.0,15.0,121.64
2655,44.25,15.0,121.64
2670,44.5,15.0,121.64
2685,44.75,15.0,121.64
2700,45.0,15.0,121.64
2715,45.25,15.0,121.64
2730,45.5,15.0,121.64
2745,45.75,15.0,121.64
2760,46.0,15.0,121.64
2775,46.25,15.0,121.64
2790,46.5,15.0,121.64
2805,46.75,15.0,121.64
2820,47.0,15.0,121.64
2835,47.25,15.0,129.16533333333334
2850,47.5,15.0,178.07999999999998
2865,47.75,15.0,178.07999999999998
2880,48.0,15.0,178.07999999999998
2895,48.25,15.0,178.07999999999998
2910,48.5,15.0,178.07999999999998
2925,48.75,15.0,178.07999999999998
2940,49.0,15.0,178.07999999999998
2955,49.25,15.0,178.07999999999998
2970,49.5,15.0,178.07999999999998
2985,49.75,15.0,178.07999999999998
3000,50.0,15.0,178.07999999999998
3015,50.25,15.0,178.07999999999998
3030,50.5,15.0,178.07999999999998
3045,50.75,15.0,178.07999999999998
3060,51.0,15.0,178.07999999999998
3075,51.25,15.0,178.07999999999998
3090,51.5,15.0,178.07999999999998
3105,51.75,15.0,178.07999999999998
3120,52.0,15.0,178.07999999999998
3135,52.25,15.0,178.07999999999998
3150,52.5,15.0,178.07999999999998
3165,52.75,15.0,178.07999999999998
3180,53.0,15.0,178.07999999999998
3195,53.25,15.0,178.07999999999998
3210,53.5,15.0,178.07999999999998
3225,53.75,15.0,178.07999999999998
3240,54.0,15.0,178.07999999999998
3255,54.25,15.0,178.07999999999998
3270,54.5,15.0,178.07999999999998
3285,54.75,15.0,178.07999999999998
3300,55.0,15.0,178.07999999999998
3315,55.25,15.0,178.07999999999998
3330,55.5,15.0,178.07999999999998
3345,55.75,15.0,178.07999999999998
3360,56.0,15.0,178.07999999999998
3375,56.25,15.0,178.07999999999998
3390,56.5,15.0,178.07999999999998
3405,56.75,15.0,178.07999999999998
3420,57.0,15.0,178.07999999999998
3435,57.25,15.0,178.07999999999998
3450,57.5,15.0,178.07999999999998
3465,57.75,15.0,178.07999999999998
3480,58.0,15.0,178.07999999999998
3495,58.25,15.0,178.07999999999998
3510,58.5,15.0,178.07999999999998
3525,58.75,15.0,178.07999999999998
3540,59.0,15.0,178.07999999999998
3555,59.25,15.0,178.07999999999998
3570,59.5,15.0,178.07999999999998
3585,59.75,15.0,178.07999999999998
3600,60.0,15.0,178.07999999999998
3615,60.25,15.0,178.07999999999998
3630,60.5,15.0,178.07999999999998
3645,60.75,15.0,85.832
3660,61.0,15.0,62.769999999999996
3675,61.25,15.0,62.769999999999996
3690,61.5,15.0,62.769999999999996
3705,61.75,15.0,62.769999999999996
3720,62.0,15.0,62.769999999999996
3735,62.25,15.0,62.769999999999996
3750,62.5,15.0,62.769999999999996
3765,62.75,15.0,62.769999999999996
3780,63.0,15.0,62.769999999999996
3795,63.25,15.0,62.769999999999996
3810,63.5,15.0,62.769999999999996
3825,63.75,15.0,62.769999999999996
3840,64.0,15.0,62.769999999999996
3855,64.25,15.0,62.769999999999996
3870,64.5,15.0,62.769999999999996
3885,64.75,15.0,62.769999999999996
3900,65.0,15.0,62.769999999999996
3915,65.25,15.0,62.769999999999996
3930,65.5,15.0,62.769999999999996
3945,65.75,15.0,62.769999999999996
3960,66.0,15.0,62.769999999999996
3975,66.25,15.0,62.769999999999996
3990,66.5,15.0,62.769999999999996
4005,66.75,15.0,62.769999999999996
4020,67.0,15.0,62.769999999999996
4035,67.25,15.0,62.769999999999996
4050,67.5,15.0,62.769999999999996
4065,67.75,15.0,62.769999999999996
4080,68.0,15.0,62.769999999999996
4095,68.25,15.0,62.769999999999996
4110,68.5,15.0,62.769999999999996
4125,68.75,15.0,62.769999999999996
4140,69.0,15.0,62.769999999999996
4155,69.25,15.0,62.769999999999996
4170,69.5,15.0,62.769999999999996
4185,69.75,15.0,62.769999999999996
4200,70.0,15.0,62.769999999999996
4215,70.25,15.0,62.769999999999996
4230,70.5,15.0,62.769999999999996
4245,70.75,15.0,62.769999999999996
4260,71.0,15.0,62.769999999999996
4275,71.25,15.0,62.769999999999996
4290,71.5,15.0,62.769999999999996
4305,71.75,15.0,62.769999999999996
4320,72.0,15.0,4.04
4335,72.25,15.0,22.92222222222222
4350,72.5,15.0,60.68666666666666
4365,72.75,15.0,60.68666666666666
4380,73.0,15.0,60.68666666666666
4395,73.25,15.0,60.68666666666666
4410,73.5,15.0,60.68666666666666
4425,73.75,15.0,60.68666666666666
4440,74.0,15.0,60.68666666666666
4455,74.25,15.0,60.68666666666666
4470,74.5,15.0,60.68666666666666
4485,74.75,15.0,60.68666666666666
4500,75.0,15.0,60.68666666666666
4515,75.25,15.0,60.68666666666666
4530,75.5,15.0,60.68666666666666
4545,75.75,15.0,60.68666666666666
4560,76.0,15.0,60.68666666666666
4575,76.25,15.0,60.68666666666666
4590,76.5,15.0,60.68666666666666
4605,76.75,15.0,96.00866666666667
4620,77.0,15.0,119.55666666666667
4635,77.25,15.0,119.55666666666667
4650,77.5,15.0,119.55666666666667
4665,77.75,15.0,119.55666666666667
4680,78.0,15.0,119.55666666666667
4695,78.25,15.0,119.55666666666667
4710,78.5,15.0,119.55666666666667
4725,78.75,15.0,119.55666666666667
4740,79.0,15.0,119.55666666666667
4755,79.25,15.0,119.55666666666667
4770,79.5,15.0,119.55666666666667
4785,79.75,15.0,119.55666666666667
4800,80.0,15.0,119.55666666666667
4815,80.25,15.0,119.55666666666667
4830,80.5,15.0,119.55666666666667
4845,80.75,15.0,119.55666666666667
4860,81.0,15.0,119.55666666666667
4875,81.25,15.0,119.55666666666667
4890,81.5,15.0,119.55666666666667
4905,81.75,15.0,119.55666666666667
4920,82.0,15.0,119.55666666666667
4935,82.25,15.0,119.55666666666667
4950,82.5,15.0,119.55666666666667
4965,82.75,15.0,119.55666666666667
4980,83.0,15.0,119.55666666666667
4995,83.25,15.0,119.55666666666667
5010,83.5,15.0,119.55666666666667
5025,83.75,15.0,119.55666666666667
5040,84.0,15.0,119.55666666666667
5055,84.25,15.0,119.55666666666667
5070,84.5,15.0,119.55666666666667
5085,84.75,15.0,119.55666666666667
