forecast_date,product_id,forecast_demand,model_used
2017-12-04,P01,161,LightGBM
2017-12-05,P01,163,LightGBM
2017-12-06,P01,162,LightGBM
2017-12-07,P01,184,LightGBM
2017-12-08,P01,189,LightGBM
2017-12-09,P01,204,LightGBM
2017-12-10,P01,198,LightGBM
2017-12-11,P01,143,LightGBM
2017-12-12,P01,158,LightGBM
2017-12-13,P01,162,LightGBM
2017-12-14,P01,175,LightGBM
2017-12-15,P01,183,LightGBM
2017-12-16,P01,201,LightGBM
2017-12-17,P01,202,LightGBM
2017-12-18,P01,138,LightGBM
2017-12-19,P01,157,LightGBM
2017-12-20,P01,166,LightGBM
2017-12-21,P01,175,LightGBM
2017-12-22,P01,183,LightGBM
2017-12-23,P01,198,LightGBM
2017-12-24,P01,202,LightGBM
2017-12-25,P01,138,LightGBM
2017-12-26,P01,156,LightGBM
2017-12-27,P01,160,LightGBM
2017-12-28,P01,174,LightGBM
2017-12-29,P01,188,LightGBM
2017-12-30,P01,198,LightGBM
2017-12-31,P01,202,LightGBM
2017-12-04,P02,387,Holt-Winters
2017-12-05,P02,479,Holt-Winters
2017-12-06,P02,476,Holt-Winters
2017-12-07,P02,533,Holt-Winters
2017-12-08,P02,527,Holt-Winters
2017-12-09,P02,579,Holt-Winters
2017-12-10,P02,651,Holt-Winters
2017-12-11,P02,388,Holt-Winters
2017-12-12,P02,480,Holt-Winters
2017-12-13,P02,476,Holt-Winters
2017-12-14,P02,534,Holt-Winters
2017-12-15,P02,527,Holt-Winters
2017-12-16,P02,580,Holt-Winters
2017-12-17,P02,652,Holt-Winters
2017-12-18,P02,389,Holt-Winters
2017-12-19,P02,481,Holt-Winters
2017-12-20,P02,477,Holt-Winters
2017-12-21,P02,535,Holt-Winters
2017-12-22,P02,528,Holt-Winters
2017-12-23,P02,581,Holt-Winters
2017-12-24,P02,652,Holt-Winters
2017-12-25,P02,389,Holt-Winters
2017-12-26,P02,482,Holt-Winters
2017-12-27,P02,478,Holt-Winters
2017-12-28,P02,536,Holt-Winters
2017-12-29,P02,529,Holt-Winters
2017-12-30,P02,582,Holt-Winters
2017-12-31,P02,653,Holt-Winters
2017-12-04,P03,242,Holt-Winters
2017-12-05,P03,300,Holt-Winters
2017-12-06,P03,299,Holt-Winters
2017-12-07,P03,330,Holt-Winters
2017-12-08,P03,338,Holt-Winters
2017-12-09,P03,377,Holt-Winters
2017-12-10,P03,419,Holt-Winters
2017-12-11,P03,242,Holt-Winters
2017-12-12,P03,301,Holt-Winters
2017-12-13,P03,299,Holt-Winters
2017-12-14,P03,330,Holt-Winters
2017-12-15,P03,338,Holt-Winters
2017-12-16,P03,377,Holt-Winters
2017-12-17,P03,419,Holt-Winters
2017-12-18,P03,243,Holt-Winters
2017-12-19,P03,301,Holt-Winters
2017-12-20,P03,299,Holt-Winters
2017-12-21,P03,331,Holt-Winters
2017-12-22,P03,339,Holt-Winters
2017-12-23,P03,378,Holt-Winters
2017-12-24,P03,420,Holt-Winters
2017-12-25,P03,243,Holt-Winters
2017-12-26,P03,302,Holt-Winters
2017-12-27,P03,300,Holt-Winters
2017-12-28,P03,331,Holt-Winters
2017-12-29,P03,339,Holt-Winters
2017-12-30,P03,378,Holt-Winters
2017-12-31,P03,420,Holt-Winters
2017-12-04,P04,176,LightGBM
2017-12-05,P04,190,LightGBM
2017-12-06,P04,190,LightGBM
2017-12-07,P04,196,LightGBM
2017-12-08,P04,194,LightGBM
2017-12-09,P04,201,LightGBM
2017-12-10,P04,199,LightGBM
2017-12-11,P04,149,LightGBM
2017-12-12,P04,168,LightGBM
2017-12-13,P04,169,LightGBM
2017-12-14,P04,191,LightGBM
2017-12-15,P04,199,LightGBM
2017-12-16,P04,211,LightGBM
2017-12-17,P04,215,LightGBM
2017-12-18,P04,135,LightGBM
2017-12-19,P04,168,LightGBM
2017-12-20,P04,169,LightGBM
2017-12-21,P04,189,LightGBM
2017-12-22,P04,198,LightGBM
2017-12-23,P04,206,LightGBM
2017-12-24,P04,213,LightGBM
2017-12-25,P04,127,LightGBM
2017-12-26,P04,157,LightGBM
2017-12-27,P04,159,LightGBM
2017-12-28,P04,174,LightGBM
2017-12-29,P04,183,LightGBM
2017-12-30,P04,203,LightGBM
2017-12-31,P04,203,LightGBM
2017-12-04,P05,132,LightGBM
2017-12-05,P05,148,LightGBM
2017-12-06,P05,152,LightGBM
2017-12-07,P05,151,LightGBM
2017-12-08,P05,155,LightGBM
2017-12-09,P05,169,LightGBM
2017-12-10,P05,178,LightGBM
2017-12-11,P05,116,LightGBM
2017-12-12,P05,137,LightGBM
2017-12-13,P05,137,LightGBM
2017-12-14,P05,145,LightGBM
2017-12-15,P05,152,LightGBM
2017-12-16,P05,175,LightGBM
2017-12-17,P05,182,LightGBM
2017-12-18,P05,106,LightGBM
2017-12-19,P05,141,LightGBM
2017-12-20,P05,150,LightGBM
2017-12-21,P05,149,LightGBM
2017-12-22,P05,154,LightGBM
2017-12-23,P05,164,LightGBM
2017-12-24,P05,166,LightGBM
2017-12-25,P05,108,LightGBM
2017-12-26,P05,131,LightGBM
2017-12-27,P05,138,LightGBM
2017-12-28,P05,147,LightGBM
2017-12-29,P05,145,LightGBM
2017-12-30,P05,153,LightGBM
2017-12-31,P05,157,LightGBM
