period_week,machine_id,regular_capacity_hours,overtime_hours,total_capacity_hours,utilized_hours,utilization_pct,shadow_price_usd_per_hr,is_bottleneck
1,M01,86.4,48.0,134.4,134.4,100.0,-9249.39,YES
1,M02,86.4,0.0,86.4,64.5,74.7,0.0,NO
1,M03,86.4,0.0,86.4,72.6,84.0,0.0,NO
2,M01,86.4,48.0,134.4,134.4,100.0,-9290.16,YES
2,M02,86.4,0.0,86.4,63.7,73.7,0.0,NO
2,M03,86.4,0.0,86.4,74.2,85.9,0.0,NO
3,M01,86.4,48.0,134.4,134.4,100.0,-5893.53,YES
3,M02,86.4,0.0,86.4,63.8,73.8,0.0,NO
3,M03,86.4,0.0,86.4,74.0,85.6,0.0,NO
4,M01,86.4,48.0,134.4,134.4,100.0,-2499.93,YES
4,M02,86.4,0.0,86.4,64.0,74.1,0.0,NO
4,M03,86.4,0.0,86.4,73.5,85.1,0.0,NO
