period_week,material_id,material_name,gross_req,safety_stock,projected_avail,net_req,planned_receipt,planned_release_week,planned_release_qty,action_message,order_cost
1,RAW_STEEL_A,Sac Plaka 4mm,9100.0,0,400.0,4600.0,5000,0,5000,EXPEDITE (Past Due),192500.0
2,RAW_STEEL_A,Sac Plaka 4mm,9100.0,0,300.0,8700.0,9000,1,9000,RELEASE ORDER,346500.0
3,RAW_STEEL_A,Sac Plaka 4mm,9100.0,0,200.0,8800.0,9000,2,9000,RELEASE ORDER,346500.0
4,RAW_STEEL_A,Sac Plaka 4mm,9100.0,0,100.0,8900.0,9000,3,9000,RELEASE ORDER,346500.0
1,RAW_STEEL_B,Yapısal Çelik Sac 8mm,15577.5,0,22.5,7577.5,7600,0,7600,EXPEDITE (Past Due),319200.0
2,RAW_STEEL_B,Yapısal Çelik Sac 8mm,15577.5,0,45.0,15555.0,15600,1,15600,RELEASE ORDER,655200.0
3,RAW_STEEL_B,Yapısal Çelik Sac 8mm,15577.5,0,67.5,15532.5,15600,2,15600,RELEASE ORDER,655200.0
4,RAW_STEEL_B,Yapısal Çelik Sac 8mm,15577.5,0,90.0,15510.0,15600,3,15600,RELEASE ORDER,655200.0
1,RAW_ALLOY_ROD,Alaşımlı Çelik Mil,0.0,0,6000.0,0.0,0,-1,0,NONE,0.0
2,RAW_ALLOY_ROD,Alaşımlı Çelik Mil,0.0,0,6000.0,0.0,0,0,0,NONE,0.0
3,RAW_ALLOY_ROD,Alaşımlı Çelik Mil,0.0,0,6000.0,0.0,0,1,0,NONE,0.0
4,RAW_ALLOY_ROD,Alaşımlı Çelik Mil,0.0,0,6000.0,0.0,0,2,0,NONE,0.0
1,COATING_POWDER,Elektrostatik Toz Boya,904.5,0,45.5,304.5,350,0,350,EXPEDITE (Past Due),56000.0
2,COATING_POWDER,Elektrostatik Toz Boya,904.5,0,41.0,859.0,900,1,900,RELEASE ORDER,144000.0
3,COATING_POWDER,Elektrostatik Toz Boya,904.5,0,36.5,863.5,900,2,900,RELEASE ORDER,144000.0
4,COATING_POWDER,Elektrostatik Toz Boya,904.5,0,32.0,868.0,900,3,900,RELEASE ORDER,144000.0
