task_id,lot_id,product_id,operation_seq,machine_id,lot_qty,batch_qty,duration_min,start_min,end_min,setup_before_min,setup_end_min,setup_start_min,batch_id
28,LOT_P05,P05,1,M01,850,850,748,480,1228,0,480.0,480.0,LOT_P05
0,LOT_P02_L1,P02,1,M01,1000,1000,960,1248,2208,20,1248.0,1228.0,LOT_P02_L1
3,LOT_P02_L2,P02,1,M01,1000,1000,960,2208,3168,0,2208.0,2208.0,LOT_P02_L2
6,LOT_P02_L3,P02,1,M01,1000,1000,960,3168,4128,0,3168.0,3168.0,LOT_P02_L3
9,LOT_P02_L4,P02,1,M01,200,200,192,4128,4320,0,4128.0,4128.0,LOT_P02_L4
12,LOT_P01_L1,P01,1,M01,1000,1000,720,4345,5065,25,4345.0,4320.0,LOT_P01_L1
15,LOT_P01_L2,P01,1,M01,100,100,72,5065,5137,0,5065.0,5065.0,LOT_P01_L2
24,LOT_P04_L1,P04,1,M01,1000,1000,560,5157,5717,20,5157.0,5137.0,LOT_P04_L1
18,LOT_P03_L1,P03,1,M01,1000,1000,1400,5752,7152,35,5752.0,5717.0,LOT_P03_L1
20,LOT_P03_L2,P03,1,M01,1000,1000,1400,7152,8552,0,7152.0,7152.0,LOT_P03_L2
22,LOT_P03_L3,P03,1,M01,25,25,35,8552,8587,0,8552.0,8552.0,LOT_P03_L3
26,LOT_P04_L2,P04,1,M01,75,75,42,8622,8664,35,8622.0,8587.0,LOT_P04_L2
1,LOT_P02_L1,P02,2,M02,1000,1000,640,2208,2848,0,2208.0,2208.0,LOT_P02_L1
4,LOT_P02_L2,P02,2,M02,1000,1000,640,3821,4461,0,3821.0,3821.0,LOT_P02_L2
29,LOT_P05,P05,2,M02,850,850,476,4481,4957,20,4481.0,4461.0,LOT_P05
13,LOT_P01_L1,P01,2,M02,1000,1000,480,5065,5545,30,5065.0,5035.0,LOT_P01_L1
16,LOT_P01_L2,P01,2,M02,100,100,48,5545,5593,0,5545.0,5545.0,LOT_P01_L2
7,LOT_P02_L3,P02,2,M02,1000,1000,640,5639,6279,25,5639.0,5614.0,LOT_P02_L3
10,LOT_P02_L4,P02,2,M02,200,200,128,6279,6407,0,6279.0,6279.0,LOT_P02_L4
19,LOT_P03_L1,P03,2,M02,1000,1000,400,7152,7552,45,7152.0,7107.0,LOT_P03_L1
21,LOT_P03_L2,P03,2,M02,1000,1000,400,8552,8952,0,8552.0,8552.0,LOT_P03_L2
23,LOT_P03_L3,P03,2,M02,25,25,10,8952,8962,0,8952.0,8952.0,LOT_P03_L3
2,LOT_P02_L1,P02,3,M03,1000,1000,800,2848,3648,0,2848.0,2848.0,LOT_P02_L1
5,LOT_P02_L2,P02,3,M03,1000,1000,800,4461,5261,0,4461.0,4461.0,LOT_P02_L2
30,LOT_P05,P05,3,M03,850,850,612,5281,5893,20,5281.0,5261.0,LOT_P05
14,LOT_P01_L1,P01,3,M03,1000,1000,600,5923,6523,30,5923.0,5893.0,LOT_P01_L1
8,LOT_P02_L3,P02,3,M03,1000,1000,800,7024,7824,25,7024.0,6999.0,LOT_P02_L3
11,LOT_P02_L4,P02,3,M03,200,200,160,7824,7984,0,7824.0,7824.0,LOT_P02_L4
17,LOT_P01_L2,P01,3,M03,100,100,60,8009,8069,25,8009.0,7984.0,LOT_P01_L2
25,LOT_P04_L1,P04,2,M03,1000,1000,480,8089,8569,20,8089.0,8069.0,LOT_P04_L1
27,LOT_P04_L2,P04,2,M03,75,75,36,8664,8700,0,8664.0,8664.0,LOT_P04_L2
