period_week,product_id,family_id,weekly_forecast_units,planned_batches,planned_units
1,P02,FAM_A,3632,128,3200
1,P01,FAM_A,1261,44,1100
1,P03,FAM_A,2305,81,2025
1,P04,FAM_B,1346,43,1075
1,P05,FAM_B,1085,34,850
2,P03,FAM_A,2306,78,1950
2,P02,FAM_A,3637,123,3075
2,P01,FAM_A,1224,41,1025
2,P05,FAM_B,1044,42,1050
2,P04,FAM_B,1302,52,1300
3,P02,FAM_A,3643,124,3100
3,P01,FAM_A,1219,41,1025
3,P03,FAM_A,2311,78,1950
3,P04,FAM_B,1278,51,1275
3,P05,FAM_B,1030,41,1025
4,P01,FAM_A,1216,42,1050
4,P03,FAM_A,2313,79,1975
4,P02,FAM_A,3649,125,3125
4,P05,FAM_B,979,39,975
4,P04,FAM_B,1206,48,1200
