machine_id,from_product,to_product,setup_time_min,setup_cost
ALL,P01,P01,0,0.0
ALL,P01,P02,25,300.0
ALL,P01,P03,40,500.0
ALL,P01,P04,20,250.0
ALL,P01,P05,30,350.0
ALL,P02,P01,25,300.0
ALL,P02,P02,0,0.0
ALL,P02,P03,45,550.0
ALL,P02,P04,30,350.0
ALL,P02,P05,20,250.0
ALL,P03,P01,40,500.0
ALL,P03,P02,45,550.0
ALL,P03,P03,0,0.0
ALL,P03,P04,35,400.0
ALL,P03,P05,35,400.0
ALL,P04,P01,20,250.0
ALL,P04,P02,30,350.0
ALL,P04,P03,35,400.0
ALL,P04,P04,0,0.0
ALL,P04,P05,25,300.0
ALL,P05,P01,30,350.0
ALL,P05,P02,20,250.0
ALL,P05,P03,35,400.0
ALL,P05,P04,25,300.0
ALL,P05,P05,0,0.0
